text,true_label,predicted
Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,Neutral,Negative
"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(",Neutral,Negative
[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,Negative,Negative
Ex-[Entity_A] aide turns tables on Mercado |,Neutral,Negative
"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",Positive,Neutral
Poor [Entity_A]??,Negative,Negative
"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!",Negative,Negative
"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].",Negative,Negative
Only [Entity_A],Positive,Neutral
I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,Negative,Negative
"[Entity_A], [Entity_b], set commit to attend presidential debates",Neutral,Neutral
"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?",Negative,Negative
"[Entity_A] will take over kris' morning talk show ""halika usap tayo""",Neutral,Positive
hahahaha! ako si [Entity_A] po.,Positive,Negative
Anybody who plans to vote for [Entity_A] is definitely an utter moron.,Negative,Negative
Made my night!!! Yan si [Entity_A] ! ????????,Positive,Positive
"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??",Negative,Negative
"Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si [Entity_A] be??",Negative,Negative
hay nako basta ako [Entity_A] ako . [Entity_A] tayo . hahaha,Positive,Positive
daang baluktot ni [Entity_A],Negative,Negative
Eh si [Entity_A] ?? Hahaha,Negative,Positive
NAMISS KO MAAM [Entity_A]!!! HUHU SOCIAL PSYCH,Positive,Neutral
[Entity_A] IS LOVE,Positive,Positive
Panira ng mood tong commercial ni [Entity_A]. Sige ikaw na mahirap. IKAW NA!!!,Negative,Negative
[Entity_A] advisers say they're more than a match for [Entity_B],Neutral,Positive
DECENT?WHICH PART OF [Entity_A] IS DECENT?NONE.SO SHUT UP NALANG.,Negative,Negative
"I strongly disagree on electing [Entity_A] for president. Atheist siyat! Guys, come on!",Negative,Negative
[Entity_A] FOR PRESIDENT Positive0Neutral6,Positive,Positive
[Entity_A] praises [Entity_B] work in UNA: He's really good -,Positive,Positive
Yan si [Entity_A]. ??,Negative,Neutral
"gnun tlaga, pag galit ka sa tao, pupuna ka ng mga pangit sa paningin mong feature nya...parang kay [Entity_A], yung pag ka dark nya :D",Negative,Positive
[Entity_A] you should tell [Entity_B] camps. Walang magnanakaw sa partida lalo na ang [Entity_C] tandem vote [ENTITY_C]],Neutral,Negative
[Entity_A] takes campaign to Laguna with dismissed guv [Entity_B] I,Neutral,Positive
Ang kakapalan ni [Entity_A] ay wagas... pati sa araw ng Undas!,Negative,Negative
THE STANDARD: UPDATE: [Entity_A] to start his election campaign in Mandaluyong City.,Neutral,Positive
"[Entity_A]: Sa dami ng problema na iiwanan, kailangan ng pangulo na itataas ang kalidad ng buhay ng Pilipino.",Positive,Negative
"crowd sourcing: kaninong ad mas nakakasuka, kay [Entity_A] o kay [Entity_B]?",Negative,Negative
"""How can [Entity_A] stop corruption naman diba?"" -[Entity_B]",Neutral,Negative
We still support [Entity_A] . You can't bring a good man down. :),Positive,Positive
Bakit laging itim yung background color ng mga commercials ni [Entity_A]? Hmm,Negative,Negative
"Alam mo [Entity_A], isa ka din sa problema eh. ??",Negative,Negative
"[Entity_A], Also be wary of friends and [Entity_B], este, foes.",Negative,Neutral.
or the [Entity_A] uplb roast. please.,Neutral,Positive
NAKO NAHIYA YUNG KAPAL NG PERA NI [Entity_A] SAYO.,Negative,Negative
Pag tumakbo ang [Entity_A] or [Entity_B] Punyeta! Blangko ang balota ko mula senator pababa! Pres-VP lang may laman! Cant wait!,Negative,Negative
[Entity_A] camp condemns killing of Laguna councilor bet |,Neutral,Neutral
ask the yellow army and they'll tell you that that's a smear job against [Entity_A],Neutral,Positive
Hoy [Entity_A].. Wag mo kaming dinadamay sa pagka Nognog mo! Muka mo.,Negative,Negative
"RT Mas kilalanin si [Entity_A] sa ikalawang episode ng ""Kandidato.""",Neutral,Neutral
[Entity_A] pointed out that traffic has been a recurring problem in the country even before today,Neutral,Neutral
[Entity_A] ads is paawa .. attack sa sarili para maawa ang tao,Negative,Positive
[Entity_A] is much worse than [Entity_B].,Negative,Negative
"Nf ko ""[Entity_A] , [Entity_B], [Entity_C]"" ??",Neutral,Positive
dito lang ba may brownout? ito na kaya ang simula ng malawakang dayaan? baka biglang lumamang c [Entity_A]?,Negative,Negative
May bago na namang tv ad si [Entity_A]. Yung totoo? Nakamagkano ka na... po? ??,Negative,Negative
"WALA TAYONG MAAASAHAN KAY [Entity_A], MAUUBOS LANG PERA NATIN KAKAKURAKOT NIYANG KINGINANG NIYAN",Negative,Negative
"Bagong pakulo na naman ni [Entity_A], magsama na lang kayo ni [Entity_B]! ??",Negative,Negative
sino ngaun nagmukhang tanga at duwag sa ginagawa mo na yan [Entity_A] hahaha lalo lang dadami boboto kay [Entity_B],Negative,Negative
"My shit list of politicians who should be vanished from the Philippine gov't forever: [Entity_A], [Entity_B], [Entity_C]",Negative,Negative
sabi ni [Entity_A] mahirap sya tapos yung properties daw nya galing sa mana. Ang labo ng script nya noh!,Negative,Negative
[Entity_A]: It's possible that I will vote in favor of [Entity_B]; I will decide based on evidence submitted | via Joseph_Morong,Neutral,Neutral
Only [Entity_A] winner,Positive,Positive
RT Bakit dahil Kay [Entity_A] Marami pa ring single? Hahahhahaha,Negative,Negative
