Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
1,bakit dahil kay [Entity_A] madilim ang kanyang advertisment,BINAY,,,,Negative,Negative,Negative,Negative
2,BAKIT TATAKBO SI [Entity_A]?! BAKA MAGHATI SILA NI [Entity_B] AT SI [Entity_C] PA ANG MANALO,DUTERTE,MIRIAM,BINAY,,Negative,Negative,Negative,Negative
3,Pero try to reach out also to those walang social media. Most na tinanong ko kay [Entity_A] sila...Pro-active na tayo [Entity_B],BINAY,DUTERTE,,,Neutral,Neutral,Neutral,Neutral
4,[Entity_A] said [Entity_B] and [Entity_C] camps didn't approach him since he filed cases against some of their members.,POE,ROXAS,DUTERTE,,Neutral,Neutral,Neutral,Neutral
5,Watch: Actual VCM Printed [Entity_A] Automatically When Voting Other President Candidate! ~ ThePadder,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
6,Selfish [Entity_A] inuuna ang pansariling interest kumoara sa kapakanan ng bayan. [Entity_B] TANDEM LET'S GO,POE,ROXAS-ROBREDO,,,Negative,Negative,Negative,Negative
7,The camp of the VP maintained that the alleged evidence presented against [Entity_A] were merely hearsay. | via ANC,BINAY,,,,Neutral,Neutral,Neutral,Neutral
8,"[Entity_A]: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.",BINAY,,,,Neutral,Neutral,Neutral,Neutral
9,[Entity_A] is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,BINAY,,,,Negative,Negative,Negative,Negative
10,Buhat bangko yung commercial ni [Entity_A]. ??????????????????????,BINAY,,,,Negative,Negative,Negative,Negative
11,Literal na [Entity_A] ang nakita ko,BINAY,,,,Neutral,Neutral,Neutral,Neutral
12,Bakit dahil kay [Entity_A] nakilala kaming mga [Entity_A]?,BINAY,,,,Negative,Negative,Negative,Negative
13,"I think, [Entity_A] is hungry for power.",MAR ROXAS,,,,Negative,Negative,Negative,Negative
14,I dont know what will happen to our country if our president is [Entity_A],MAR ROXAS,,,,Negative,Negative,Negative,Negative
15,Sawang sawa na ko sa commercial ni [Entity_A] ??,BINAY,,,,Negative,Negative,Negative,Negative
16,"why is abscbn making [Entity_A] as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..",MAR ROXAS,,,,Negative,Negative,Negative,Negative
17,RT kamuka ni Kokey yan si [Entity_A],BINAY,,,,Neutral,Neutral,Negative,Negative
18,"Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si [Entity_A] ang isinusumbong. [Entity_B], [Entity_C] at [Entity_D] ang nagsumbong.Si [Entity_E] ang sawsawero.",DUTERTE,MAR ROXAS,POE,MDS/MIRIAM,Negative,Negative,Negative,Negative
19,Wag natin kalimutan isupport si [Entity_A],GRINGO HONASAN,BINAY,,,Positive,Positive,Positive,Positive
20,"Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay [Entity_A].",BINAY,,,,Negative,Negative,Negative,Negative
21,putangina mo [Entity_A] wag mo kami idamay sa [Entity_A] na yan,BINAY,NOGNOG,,,Negative,Negative,Negative,Negative
22,Panay [Entity_A] commercial aba. Ginawang asal ??,MAR ROXAS,,,,Negative,Negative,Negative,Negative
23,Bakit puro kayo Sandro? Pano naman yung anak ni [Entity_A]? Hahahaha cge sakin nalang sya ??,SANDRO,BINAY,,,Positive,Neutral,Negative,Negative
24,Pati nanay mo [Entity_A] trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,BINAY,,,,Negative,Negative,Negative,Negative
25,"[Entity_A], puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?",BINAY,,,,Negative,Negative,Negative,Negative
26,"hmmm either [Entity_A] o [Entity_B] lang president ko. Vice ko, either [Entity_C] or [Entity_D].",DUTERTE,MIRIAM,,,Positive,Positive,Positive,Positive
27,mga maala [Entity_A] nga. HAHHAAH.,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
28,Sana di nalang paulit ulit yung binabato nila kay [Entity_A] para nakaka move on tayo lahat,BINAY,,,,Negative,Negative,Negative,Negative
