Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
1,Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,DUTERTE,MAR ROXAS,,,Negative,Neutral,Neutral,Neutral
2,"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(",DUTERTE,POE,,,Neutral,Neutral,Neutral,Neutral
3,[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,BINAY,,,,Negative,Negative,Negative,Negative
4,Ex-[Entity_A] aide turns tables on Mercado |,BINAY,,,,Neutral,Neutral,Neutral,Neutral
5,"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",BINAY,,,,Positive,Positive,Positive,Positive
6,Poor [Entity_A]??,BINAY,,,,Negative,Negative,Negative,Negative
7,"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!",BINAY,,,,Negative,Negative,Negative,Negative
8,"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].",BINAY,,,,Negative,Negative,Negative,Negative
9,Only [Entity_A],BINAY,,,,Positive,Positive,Positive,Positive
10,I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,BINAY,,,,Negative,Negative,Negative,Negative
11,"[Entity_A], [Entity_b], set commit to attend presidential debates",ROXAS,BINAY,,,Neutral,Neutral,Neutral,Neutral
12,"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?",DIGONG/DUTERTE,BINAY,ROXAS,POE,Negative,Negative,Negative,Negative
13,"[Entity_A] will take over kris' morning talk show ""halika usap tayo""",MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
14,hahahaha! ako si [Entity_A] po.,BINAY,,,,Positive,Positive,Positive,Positive
15,Anybody who plans to vote for [Entity_A] is definitely an utter moron.,BINAY,,,,Negative,Negative,Negative,Negative
16,Made my night!!! Yan si [Entity_A] ! ????????,BINAY,,,,Negative,Positive,Positive,Positive
17,"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??",MAR ROXAS,,,,Negative,Negative,Negative,Negative
18,"Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si [Entity_A] be??",BINAY,,,,Negative,Negative,Negative,Negative
19,hay nako basta ako [Entity_A] ako . [Entity_A] tayo . hahaha,BINAY,,,,Positive,Positive,Positive,Positive
20,daang baluktot ni [Entity_A],MAR ROXAS,,,,Negative,Negative,Negative,Negative
21,Eh si [Entity_A] ?? Hahaha,BINAY,,,,Negative,Negative,Negative,Negative
22,NAMISS KO MAAM [Entity_A]!!! HUHU SOCIAL PSYCH,BINAY,,,,Positive,Positive,Positive,Positive
23,[Entity_A] IS LOVE,BINAY,,,,Positive,Positive,Positive,Positive
24,Panira ng mood tong commercial ni [Entity_A]. Sige ikaw na mahirap. IKAW NA!!!,BINAY,,,,Negative,Negative,Negative,Negative
25,[Entity_A] advisers say they're more than a match for [Entity_B],POE,BINAY,,,Neutral,Neutral,Neutral,Neutral
26,DECENT?WHICH PART OF [Entity_A] IS DECENT?NONE.SO SHUT UP NALANG.,MAR ROXAS,,,,Negative,Negative,Negative,Negative
27,"I strongly disagree on electing [Entity_A] for president. Atheist siyat! Guys, come on!",MIRIAM,,,,Negative,Negative,Negative,Negative
28,[Entity_A] FOR PRESIDENT Positive0Neutral6,DUTERTE,,,,Positive,Positive,Positive,Positive
29,[Entity_A] praises [Entity_B] work in UNA: He's really good -,BINAY,PUNO,,,Positive,Positive,Positive,Positive
30,Yan si [Entity_A]. ??,BINAY,,,,Negative,Negative,Negative,Negative
31,"gnun tlaga, pag galit ka sa tao, pupuna ka ng mga pangit sa paningin mong feature nya...parang kay [Entity_A], yung pag ka dark nya :D",BINAY,,,,Negative,Negative,Negative,Negative
32,[Entity_A] you should tell [Entity_B] camps. Walang magnanakaw sa partida lalo na ang [Entity_C] tandem vote [ENTITY_C]],POE,BINAY,ROXAS-ROBREDO,,Negative,Neutral,Positive,Neutral
33,[Entity_A] takes campaign to Laguna with dismissed guv [Entity_B] I,BINAY,EJERCITO,,,Neutral,Neutral,Neutral,Neutral
34,Ang kakapalan ni [Entity_A] ay wagas... pati sa araw ng Undas!,BINAY,,,,Negative,Negative,Negative,Negative
35,THE STANDARD: UPDATE: [Entity_A] to start his election campaign in Mandaluyong City.,BINAY,,,,Neutral,Neutral,Neutral,Neutral
36,"[Entity_A]: Sa dami ng problema na iiwanan, kailangan ng pangulo na itataas ang kalidad ng buhay ng Pilipino.",BINAY,,,,Positive,Positive,Positive,Positive
37,"crowd sourcing: kaninong ad mas nakakasuka, kay [Entity_A] o kay [Entity_B]?",POE,BINAY,,,Negative,Negative,Negative,Negative
38,"""How can [Entity_A] stop corruption naman diba?"" -[Entity_B]",BINAY,CAYETANO,,,Neutral,Neutral,Neutral,Neutral
39,We still support [Entity_A] . You can't bring a good man down. :),MAR ROXAS,,,,Positive,Positive,Positive,Positive
40,Bakit laging itim yung background color ng mga commercials ni [Entity_A]? Hmm,BINAY,,,,Negative,Negative,Negative,Negative
41,"Alam mo [Entity_A], isa ka din sa problema eh. ??",BINAY,,,,Negative,Negative,Negative,Negative
42,"[Entity_A], Also be wary of friends and [Entity_B], este, foes.",MAR ROXAS,POE,,,Negative,Negative,Negative,Negative
43,or the [Entity_A] uplb roast. please.,BINAY,,,,Neutral,Neutral,Neutral,Neutral
44,NAKO NAHIYA YUNG KAPAL NG PERA NI [Entity_A] SAYO.,BINAY,,,,Negative,Negative,Negative,Negative
45,Pag tumakbo ang [Entity_A] or [Entity_B] Punyeta! Blangko ang balota ko mula senator pababa! Pres-VP lang may laman! Cant wait!,DUTERTE-FERNANDO,SANTIAGO-DUTERTE,,,Negative,Negative,Negative,Negative
46,[Entity_A] camp condemns killing of Laguna councilor bet |,BINAY,,,,Neutral,Neutral,Neutral,Neutral
47,ask the yellow army and they'll tell you that that's a smear job against [Entity_A],MAR ROXAS,,,,Negative,Neutral,Neutral,Neutral
48,Hoy [Entity_A].. Wag mo kaming dinadamay sa pagka Nognog mo! Muka mo.,BINAY,,,,Negative,Negative,Negative,Negative
