text,true_label,predicted
bakit dahil kay [Entity_A] madilim ang kanyang advertisment,Negative,Negative
BAKIT TATAKBO SI [Entity_A]?! BAKA MAGHATI SILA NI [Entity_B] AT SI [Entity_C] PA ANG MANALO,Negative,Negative
Pero try to reach out also to those walang social media. Most na tinanong ko kay [Entity_A] sila...Pro-active na tayo [Entity_B],Neutral,Positive
[Entity_A] said [Entity_B] and [Entity_C] camps didn't approach him since he filed cases against some of their members.,Neutral,Neutral
Watch: Actual VCM Printed [Entity_A] Automatically When Voting Other President Candidate! ~ ThePadder,Neutral,Neutral
Selfish [Entity_A] inuuna ang pansariling interest kumoara sa kapakanan ng bayan. [Entity_B] TANDEM LET'S GO,Negative,Negative
The camp of the VP maintained that the alleged evidence presented against [Entity_A] were merely hearsay. | via ANC,Neutral,Neutral
"[Entity_A]: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.",Neutral,Negative
[Entity_A] is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,Negative,Negative
Buhat bangko yung commercial ni [Entity_A]. ??????????????????????,Negative,Neutral
Literal na [Entity_A] ang nakita ko,Neutral,Neutral
Bakit dahil kay [Entity_A] nakilala kaming mga [Entity_A]?,Negative,Neutral
"I think, [Entity_A] is hungry for power.",Negative,Negative
I dont know what will happen to our country if our president is [Entity_A],Negative,Negative
Sawang sawa na ko sa commercial ni [Entity_A] ??,Negative,Neutral
"why is abscbn making [Entity_A] as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..",Negative,Neutral
RT kamuka ni Kokey yan si [Entity_A],Negative,Neutral
"Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si [Entity_A] ang isinusumbong. [Entity_B], [Entity_C] at [Entity_D] ang nagsumbong.Si [Entity_E] ang sawsawero.",Negative,Neutral
Wag natin kalimutan isupport si [Entity_A],Positive,Positive
"Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay [Entity_A].",Negative,Neutral
putangina mo [Entity_A] wag mo kami idamay sa [Entity_A] na yan,Negative,Negative
Panay [Entity_A] commercial aba. Ginawang asal ??,Negative,Neutral
Bakit puro kayo Sandro? Pano naman yung anak ni [Entity_A]? Hahahaha cge sakin nalang sya ??,Negative,Neutral
Pati nanay mo [Entity_A] trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,Negative,Neutral
"[Entity_A], puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?",Negative,Neutral
"hmmm either [Entity_A] o [Entity_B] lang president ko. Vice ko, either [Entity_C] or [Entity_D].",Positive,Neutral
mga maala [Entity_A] nga. HAHHAAH.,Neutral,Neutral
Sana di nalang paulit ulit yung binabato nila kay [Entity_A] para nakaka move on tayo lahat,Negative,Positive
"Interview pa lang ni [Entity_A] walang isip-isip sa pagsagot, hindi tulad ni [Entity_B]! Haha",Negative,Positive
"I really hope the voting public bothered to witness this debate. If you're still voting for [Entity_A] or [Entity_B], then idk anymore.",Negative,Neutral
The Information against [Entity_A] will be filed after the expiration of his term as Vice President. | via,Neutral,Neutral
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,Neutral,Negative
[Entity_A]! wala na ba? ??????,Negative,Neutral
Bakit di man lang maitelevised ng ABSCBN yung problema na [Entity_A] yung votes pero sa receipts [Entity_A]. BIAS TLAAGA,Negative,Negative
[Entity_A] to raise issue vs [Entity_B] if admin uses corruption vs [Entity_C] |,Neutral,Negative
"What saddens me most is that [Entity_A], [Entity_B] and [Entity_C] placed higher than [Entity_D]. You're really not afraid of a dying country.",Negative,Negative
[Entity_A]. yan si [Entity_A] asawa ni binoy ????????,Neutral,Neutral
Pagkatapos ng [Entity_A] [Entity_A] naman ngayon. Srsyly [Entity_A] ??,Negative,Neutral
"[Entity_A], dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo",Neutral,Neutral
RT It will just be [Entity_A] vs [Entity_B] for me. Credibility vs Willpower. Debates will tell.,Neutral,Neutral
tricky pol ads of cagey [Entity_A],Negative,Neutral
Presidential bet [Entity_A] now faces allegations on vote buying in Baguio City.,Negative,Negative
Gwapo naman lagi ni [Entity_A] eh hahahaha,Positive,Positive
Palace to [Entity_A]: Check out [Entity_B]'s numbers,Neutral,Neutral
5M for [Entity_A]. hay. tapos si [Entity_B] Positive.9M.,Negative,Positive
"Wala din akong kinakalabang kandidato. I share posts on [Entity_A], [Entity_B], [Entity_C], [Entity_D], and [Entity_E]. Alphabetical ka 'yan para fair. ??",Neutral,Neutral
"Mercado owned dummy' firms, alleged [Entity_A] bagman claims",Neutral,Negative
[Entity_A] should be the Neutral to quit instead of [Entity_B] kasi mas mataas ranking ni [Entity_B] sa 7-eleven GULP surveys,Negative,Neutral
"Salgado says reaffirmed indictment days before campaign period,like when it indicted [Entity_A] on day he filed his candidacy",Neutral,Neutral
Video of [Entity_A] lookalike goes viral. READ HERE:,Neutral,Neutral
"Retweeted TV Patrol [Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa...",Neutral,Neutral
[Entity_A]: It's presumptuous for [Entity_B] to think the race is between [Entity_B] and [Entity_C].,Negative,Negative
"GOV'Ts MONEY??? EXCUSE ME, [Entity_A]! THAT'S OUR MONEY!! GALING SA DUGO'T PAWIS NG MGA HAMAK NA MANGGAGAWA NA...",Negative,Negative
"I hear our neighbor's sing [Entity_A]’S jingle pero iba yung lyrics. From only [Entity_A] to ""Lonely [Entity_A]."" Huhu wait na-LSS ako",Negative,Neutral
Jusko po. Kahit tuwid na daan ni [Entity_A] apektado. ??,Negative,Neutral
Bombo Radyo Philippines - [Entity_A]: Hindi ako titigil sa pag-uusig laban sa pamilya [Entity_A],Neutral,Negative
Yan si [Entity_A]! Wahahaha!,Negative,Neutral
"[Entity_A]: I will make you rich, like your hometown. Pwe! Talagang mayaman ang Makati kasi yun ang business capital mg Ph. Tanga.",Negative,Positive
[Entity_A]'s ad is so full of ad misericordiam fallacies hahaha,Negative,Negative
"[Entity_A], binati nina [Entity_B] at [Entity_C] sa kanyang 7Negativerd birthday",Neutral,Neutral
"PWEDE NA SI [Entity_A], WAG LANG SI [Entity_B], WAG! SHET, WAG! [Entity_B], LABAN PA! VOTE [Entity_A] for PRESIDENT",Negative,Positive
manhid mo comelec.maka stresss!!![Entity_A]aran din kayo Ni [Entity_A],Negative,Negative
While [Entity_A]: Siya si Korra! The avatar. Wahaha,Positive,Neutral
I will not vote [Entity_A].,Negative,Neutral
Nag trending si [Entity_A] sa twitter.. Negative puros ??????????????????,Negative,Neutral
I really don't like that [Entity_A] commercial hahahaha,Negative,Negative
"Manawagan kong [Entity_A], [Entity_B], [Entity_C] nga ilibre kog ticket sa EXO Planet. ???? dejokelungs",Neutral,Neutral
Good news but why do i have a bad feeling that [Entity_A] will win,Negative,Neutral
"Words like decency and honesty coming from [Entity_A]? Oh. Fck you and your poor, filthy little shit",Negative,Negative
"salamat sa naging suporta mga ka [Entity_A], di pa tapos ang laban, laban para sa kahirapan",Positive,Positive
[Entity_A] po.,Neutral,Neutral
Desperate move ni [Entity_A] ????,Negative,Negative
"Grabe talaga si [Entity_A], wala kasing boto kaya ginagamit si [Entity_B]!",Negative,Negative
"NGAYON SA - [Entity_A], [Entity_B], [Entity_C] at [Entity_D], inilatag ang mga plataporma sa harap ng mga negosyante. -...",Neutral,Neutral
"Dear [Entity_A], Why can't you just accept the fact na ayaw sayo ng mga tao? Stop threatening the voters ???",Negative,Negative
"ofcourse, there's no choice but [Entity_A]. pero kung [Entity_B] vs [Entity_C]? i'd pick [Entity_D] any day ??????",Negative,Neutral
"""Mananalo ang karapatdapat"" -[Entity_A] At ang karapatadapat ay si [Entity_B] hahahaha",Positive,Neutral
hahahaha same tayo kay [Entity_A]! Nag [Entity_B] ako sa vice! ?? si [Entity_C] at [Entity_D]. ??,Neutral,Neutral
"Wag ka na lumaban sa pagka pangulo. Dka mananalo, Si [Entity_A] ang mananaig.",Negative,Negative
"Para sakin this labanan is between [Entity_A](Disiplina), [Entity_B](utak) at [Entity_C](Puso).",Positive,Neutral
Hakot [Entity_A],Positive,Neutral
"Honestly, why is [Entity_A] so against of [Entity_B]? Ano motive niya?",Negative,Neutral
Vote buying from [Entity_A] . First Time namin nakatanggap na galing sa president,Negative,Negative
Desperado move ?? [Entity_A] .,Negative,Neutral
Puro lait sa sarili si [Entity_A] :(,Negative,Negative
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,Neutral,Negative
Ganyan ang president. Hindi takot sa QandA from media. Good job [Entity_A]! GO [Entity_A],Positive,Positive
"Bat kaya napikon si [Entity_A] kay [Entity_B] dahil ba sa parinig ni [Entity_B] na ""Kahit hindi ako [Entity_A] ATLEAST hindi ako MAGNANAKAW""",Negative,Negative
Sana walang dayaang mangyari sa lunes at si [Entity_A] ang manalo wahaha! Pakyu ka [Entity_B] ililipat mo kay [Entity_C] yung mga boto sayo!,Negative,Positive
KAPAG SI [Entity_A] ANG MANANALO MATUTUWA SI KORING. AT AYOKONG MANGYARI YON. HAHAHAHAHA,Negative,Neutral
Edi iboto si [Entity_A] para walang mapunta kay [Entity_B]. Haha,Negative,Neutral
Bakit dahil kay [Entity_A]? Bakit puro [Entity_A] lagi? ??,Negative,Negative
nye pndak na nog nog parang [Entity_A] lang ahahahha ?,Negative,Neutral
,Neutral,Neutral
Pag nanalo si [Entity_A] or [Entity_B] mag sisimula ako mag graffiti ng anti-gov shit. lol,Negative,Neutral
Wag mo Boto yan. [Entity_A] tandem tayO,Positive,Neutral
[Entity_A]: I DON'T NEED OFW VOTE via,Neutral,Negative
"Poor [Entity_A]. Pero parang awa niyo na, wag niyong iboto si [Entity_B] :(",Negative,Negative
"Unlike his rich rivals, [Entity_A] says he hails from the poor",Neutral,Neutral
Sawsaw nanaman sa APEC issue 'to si [Entity_A].. Tsk tsk!,Negative,Negative
Route Security was maintained and rendered during the visit of [Entity_A] and Company.,Neutral,Neutral
Nakakairita si [Entity_A]! Tanga kaba?! Tsktsk. Hindi kana nga mayor! Pati tatay mo nakikisali pa. Punyeta!,Negative,Negative
Grabe kayo kay [Entity_A] ????,Positive,Neutral
"Dapat dinidisqualify c [Entity_A], puro kadayaan ang alam. Hays",Negative,Neutral
Segway: Anong inarte ng tv ad ni [Entity_A] at [Entity_B]?! Sarap pag untugin.,Negative,Positive
"Talaga 'to si [Entity_A]! Lahat na lang eh. Pati Oplan Tuli, naki-join din! ?? HAHAHAHAHAHAHA! ??",Negative,Positive
"""But you expect me to jump up on board with you and ride off into your delusional sunset."" (to [Entity_A])",Negative,Negative
[Entity_A] I'm sure in last debate itaob ni [Entity_A] ang mga Nambatikos sa kanya..[Entity_B] [Entity_C] [Entity_D] manginig na kayo....,Neutral,Neutral
[Entity_A] last to arrive. Didn't grant interview but blew kiss to media,Neutral,Negative
"[Entity_A] leads in the latest SWS Presidential survey (Neutral,Positive00 respondents; Feb 5",Neutral,Positive
Only [Entity_A] WTF??? HAHAHAHA,Negative,Neutral
Idaan niyo din si [Entity_A] kay Karen Davila pls,Negative,Neutral
Ang yaman ni [Entity_A].. Twice ang paid ad in one gap.,Negative,Neutral
Retweet sa mga Badtrip kay [Entity_A] ????,Negative,Neutral
[Entity_A] political ads are sick.,Negative,Negative
Hey [Entity_A] wrong timing ka daw sabi si Delima,Negative,Negative
Umalma ang kampo ni [Entity_A] sa pahayag ni [Entity_B] na tila may pagkakapareho ang mga transaksyon ni [Entity_C] sa RCBC...,Neutral,Neutral
"Shut up, [Entity_A]!",Negative,Negative
"kung nakaliit liit, tangina junior ni [Entity_A] ????????",Negative,Neutral
Bakit pag si [Entity_A] pinag-eexplain pero si [Entity_B] pinipigilan agad. Fast talk nga e. Bias tlaga 'tong si Karen??????,Negative,Negative
Senate committee recommends plunder case against [Entity_A] and son | via Eagle News,Neutral,Negative
,Negative,Neutral
"Apparently [Entity_A] told Justice Sec. to shut up regarding a certain, controversial case/issue. Lalo nang nagdilim. Naku po.",Negative,Negative
"Kung si may true blue Filipino, only si [Entity_A] ang may true black Presidentiable inside and out.",Negative,Negative
"MUST READ: [Entity_A] Open Letter to [Entity_B], “You’LL Destroy Philippines If You Cheat”",Negative,Negative
The road to Malacanang: [Entity_A],Neutral,Neutral
[Entity_A] bucks proposed Neutral4 percent VAT,Neutral,Neutral
haha wala akong biometrics. paki boto na lang si [Entity_A] hahah,Positive,Neutral
"Well, [Entity_A]'s rank was quite expected but I can't believe [Entity_B], [Entity_C], and [Entity_D] over [Entity_E]? This is a proof that many ppl has no brains",Negative,Negative
"Happening now: Welfareville Compound, Mandaluyong. [Entity_A] campaign kick off at 4pm",Neutral,Neutral
Naiirita ako sa commercial ni [Entity_A] hello po ano,Negative,Neutral
"hoy ! happy birthday ! kabirthday niyo pala si [Entity_A] HAHAHA ?? anyways, stay gorgeous ??",Neutral,Positive
"KAHIT BIRTHDAY NI [Entity_A] NGAYON, I STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =)))",Negative,Negative
"[Entity_A] is not a contender, it will come down to [Entity_B] and may be [Entity_C]. but I say PH lets Vote [Entity_C]",Negative,Positive
"Wala palang kinalaman kulay ng balat nya, KULAY LANPALANG NG BUDHI NYA AT BUTO! Kaya, No To [Entity_A]! ??",Negative,Neutral
[Entity_A] is desperate human being,Negative,Negative
Pag si [Entity_A] nanalo kokonti ang mahirap sa Pinas.,Positive,Negative
