text,real_text,entity_detected,true_label,predicted
bakit dahil kay [Entity_A] madilim ang kanyang advertisment,bakit dahil kay BINAY madilim ang kanyang advertisment,BINAY,Negative,Negative
BAKIT TATAKBO SI [Entity_A]?! BAKA MAGHATI SILA NI [Entity_B] AT SI [Entity_C] PA ANG MANALO,BAKIT TATAKBO SI DUTERTE?! BAKA MAGHATI SILA NI MIRIAM AT SI BINAY PA ANG MANALO,"DUTERTE, MIRIAM, BINAY",Negative,Negative
Pero try to reach out also to those walang social media. Most na tinanong ko kay [Entity_A] sila...Pro-active na tayo [Entity_B],Pero try to reach out also to those walang social media. Most na tinanong ko kay BINAY sila...Pro-active na tayo DUTERTE,"BINAY, DUTERTE",Neutral,Negative
[Entity_A] said [Entity_B] and [Entity_C] camps didn't approach him since he filed cases against some of their members.,POE said ROXAS and DUTERTE camps didn't approach him since he filed cases against some of their members.,"POE, ROXAS, DUTERTE",Neutral,Negative
Watch: Actual VCM Printed [Entity_A] Automatically When Voting Other President Candidate! ~ ThePadder,Watch: Actual VCM Printed MAR ROXAS Automatically When Voting Other President Candidate! ~ ThePadder,MAR ROXAS,Neutral,Negative
Selfish [Entity_A] inuuna ang pansariling interest kumoara sa kapakanan ng bayan. [Entity_B] TANDEM LET'S GO,Selfish POE inuuna ang pansariling interest kumoara sa kapakanan ng bayan. ROXAS-ROBREDO TANDEM LET'S GO,"POE, ROXAS-ROBREDO",Negative,Negative
The camp of the VP maintained that the alleged evidence presented against [Entity_A] were merely hearsay. | via ANC,The camp of the VP maintained that the alleged evidence presented against BINAY were merely hearsay. | via ANC,BINAY,Neutral,Negative
"[Entity_A]: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.","BINAY: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.",BINAY,Neutral,Negative
[Entity_A] is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,BINAY is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,BINAY,Negative,Negative
Buhat bangko yung commercial ni [Entity_A]. ??????????????????????,Buhat bangko yung commercial ni BINAY. ??????????????????????,BINAY,Negative,Negative
