text,R1,R2,R3,final_label
bakit dahil kay [Entity_A] madilim ang kanyang advertisment,Negative,Negative,Negative,Negative
BAKIT TATAKBO SI [Entity_A]?! BAKA MAGHATI SILA NI [Entity_B] AT SI [Entity_C] PA ANG MANALO,Negative,Negative,Negative,Negative
Pero try to reach out also to those walang social media. Most na tinanong ko kay [Entity_A] sila...Pro-active na tayo [Entity_B],Neutral,Neutral,Neutral,Neutral
[Entity_A] said [Entity_B] and [Entity_C] camps didn't approach him since he filed cases against some of their members.,Neutral,Neutral,Neutral,Neutral
Watch: Actual VCM Printed [Entity_A] Automatically When Voting Other President Candidate! ~ ThePadder,Neutral,Neutral,Neutral,Neutral
Selfish [Entity_A] inuuna ang pansariling interest kumoara sa kapakanan ng bayan. [Entity_B] TANDEM LET'S GO,Negative,Negative,Negative,Negative
The camp of the VP maintained that the alleged evidence presented against [Entity_A] were merely hearsay. | via ANC,Neutral,Neutral,Neutral,Neutral
"[Entity_A]: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.",Neutral,Neutral,Neutral,Neutral
[Entity_A] is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,Negative,Negative,Negative,Negative
Buhat bangko yung commercial ni [Entity_A]. ??????????????????????,Negative,Negative,Negative,Negative
Literal na [Entity_A] ang nakita ko,Neutral,Neutral,Neutral,Neutral
Bakit dahil kay [Entity_A] nakilala kaming mga [Entity_A]?,Negative,Negative,Negative,Negative
"I think, [Entity_A] is hungry for power.",Negative,Negative,Negative,Negative
I dont know what will happen to our country if our president is [Entity_A],Negative,Negative,Negative,Negative
Sawang sawa na ko sa commercial ni [Entity_A] ??,Negative,Negative,Negative,Negative
"why is abscbn making [Entity_A] as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..",Negative,Negative,Negative,Negative
RT kamuka ni Kokey yan si [Entity_A],Neutral,Neutral,Negative,Negative
"Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si [Entity_A] ang isinusumbong. [Entity_B], [Entity_C] at [Entity_D] ang nagsumbong.Si [Entity_E] ang sawsawero.",Negative,Negative,Negative,Negative
Wag natin kalimutan isupport si [Entity_A],Positive,Positive,Positive,Positive
"Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay [Entity_A].",Negative,Negative,Negative,Negative
putangina mo [Entity_A] wag mo kami idamay sa [Entity_A] na yan,Negative,Negative,Negative,Negative
Panay [Entity_A] commercial aba. Ginawang asal ??,Negative,Negative,Negative,Negative
Bakit puro kayo Sandro? Pano naman yung anak ni [Entity_A]? Hahahaha cge sakin nalang sya ??,Positive,Neutral,Negative,Negative
Pati nanay mo [Entity_A] trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,Negative,Negative,Negative,Negative
"[Entity_A], puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?",Negative,Negative,Negative,Negative
"hmmm either [Entity_A] o [Entity_B] lang president ko. Vice ko, either [Entity_C] or [Entity_D].",Positive,Positive,Positive,Positive
mga maala [Entity_A] nga. HAHHAAH.,Neutral,Neutral,Neutral,Neutral
Sana di nalang paulit ulit yung binabato nila kay [Entity_A] para nakaka move on tayo lahat,Negative,Negative,Negative,Negative
"Interview pa lang ni [Entity_A] walang isip-isip sa pagsagot, hindi tulad ni [Entity_B]! Haha",Negative,Negative,Negative,Negative
"I really hope the voting public bothered to witness this debate. If you're still voting for [Entity_A] or [Entity_B], then idk anymore.",Negative,Negative,Negative,Negative
The Information against [Entity_A] will be filed after the expiration of his term as Vice President. | via,Negative,Neutral,Neutral,Neutral
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,Neutral,Neutral,Neutral,Neutral
[Entity_A]! wala na ba? ??????,Negative,Negative,Negative,Negative
Bakit di man lang maitelevised ng ABSCBN yung problema na [Entity_A] yung votes pero sa receipts [Entity_A]. BIAS TLAAGA,Negative,Negative,Negative,Negative
[Entity_A] to raise issue vs [Entity_B] if admin uses corruption vs [Entity_C] |,Neutral,Neutral,Neutral,Neutral
"What saddens me most is that [Entity_A], [Entity_B] and [Entity_C] placed higher than [Entity_D]. You're really not afraid of a dying country.",Negative,Negative,Negative,Negative
[Entity_A]. yan si [Entity_A] asawa ni binoy ????????,Neutral,Neutral,Neutral,Neutral
Pagkatapos ng [Entity_A] [Entity_A] naman ngayon. Srsyly [Entity_A] ??,Negative,Negative,Negative,Negative
"[Entity_A], dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo",Neutral,Neutral,Neutral,Neutral
RT It will just be [Entity_A] vs [Entity_B] for me. Credibility vs Willpower. Debates will tell.,Neutral,Neutral,Neutral,Neutral
tricky pol ads of cagey [Entity_A],Negative,Negative,Negative,Negative
Presidential bet [Entity_A] now faces allegations on vote buying in Baguio City.,Negative,Negative,Negative,Negative
Gwapo naman lagi ni [Entity_A] eh hahahaha,Positive,Positive,Positive,Positive
Palace to [Entity_A]: Check out [Entity_B]'s numbers,Negative,Neutral,Neutral,Neutral
