text,real_text,entity_detected,true_label,predicted
Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,Unshaded votes and votes for DUTERTE goes to MAR ROXAS according to some reports of ballot tests.,"DUTERTE, MAR ROXAS",Neutral,Neutral
"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(","well there's other good choices like DUTERTE or DUTERTE. But both of them are still undecided, I think? :( :(","DUTERTE, POE",Neutral,Neutral
[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,BINAY. Pandak. Laki sa hirap. Pero corrupt. Yan si BINAY!!!,BINAY,Negative,Negative
Ex-[Entity_A] aide turns tables on Mercado |,Ex-BINAY aide turns tables on Mercado |,Mercado,Neutral,Negative
"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.","BINAY in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",Yong,Positive,Positive
Poor [Entity_A]??,Poor BINAY??,BINAY,Negative,Negative
"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!","RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma BINAY! EVER!!!",Basha,Negative,Neutral
"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].","ISA LANG MASASABI KO SA AD NI BINAY, P U T A. Bobo lang ang boboto kay BINAY.",BINAY,Negative,Negative
Only [Entity_A],Only BINAY,BINAY,Positive,Positive
I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,I am not for BINAY. I am sharing soundbites from what we've gathered in going around barangays.,BINAY,Negative,Negative
"[Entity_A], [Entity_b], set commit to attend presidential debates","ROXAS, [Entity_b], set commit to attend presidential debates","ROXAS, BINAY",Neutral,Neutral
"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?","Kahit anong paninira nyo kay DIGONG/DUTERTE solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si BINAY ROXAS, POE gawan nyo ng commercial?","DIGONG/DUTERTE, BINAY, ROXAS, POE",Negative,Positive
"[Entity_A] will take over kris' morning talk show ""halika usap tayo""","MAR ROXAS will take over kris' morning talk show ""halika usap tayo""",MAR ROXAS,Neutral,Positive
hahahaha! ako si [Entity_A] po.,hahahaha! ako si BINAY po.,BINAY,Positive,Positive
Anybody who plans to vote for [Entity_A] is definitely an utter moron.,Anybody who plans to vote for BINAY is definitely an utter moron.,BINAY,Negative,Negative
Made my night!!! Yan si [Entity_A] ! ????????,Made my night!!! Yan si BINAY ! ????????,BINAY,Positive,Positive
"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??","I will support your decisions babies, but sorry to say, MAR ROXAS is not fit to be president! ??",MAR ROXAS,Negative,Negative
