template_id,template_text,template_sentiment,entity_id,entity_name,order_axis,social_axis,temporal_axis,real_text,predicted
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,Neutral
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,Neutral
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,2,3,1,Ayon sa mga ulat si Jejomar Binay ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,1,Jejomar Binay,2,3,1,Ipinakita ng survey na si Jejomar Binay ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,1,Jejomar Binay,2,3,1,Naglunsad si Jejomar Binay ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,1,Jejomar Binay,2,3,1,Kinausap ng media si Jejomar Binay tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,2,Mar Roxas,4,4,5,Si Mar Roxas ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,2,Mar Roxas,4,4,5,Susuportahan ko si Mar Roxas sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,2,Mar Roxas,4,4,5,Ang ginawa ni Mar Roxas para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,2,Mar Roxas,4,4,5,Proud akong sabihin na boboto ako kay Mar Roxas.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,2,Mar Roxas,4,4,5,Si Mar Roxas lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,2,Mar Roxas,4,4,5,Hindi ko iboboto si Mar Roxas kahit kailan.,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,2,Mar Roxas,4,4,5,Disappointed ako kay Mar Roxas dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,2,Mar Roxas,4,4,5,Si Mar Roxas ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,2,Mar Roxas,4,4,5,Ayaw ko kay Mar Roxas hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,2,Mar Roxas,4,4,5,Naniniwala ako na si Mar Roxas ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,2,Mar Roxas,4,4,5,Si Mar Roxas ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,2,Mar Roxas,4,4,5,Nakita ko si Mar Roxas sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,2,Mar Roxas,4,4,5,Ang Mar Roxas ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,2,Mar Roxas,4,4,5,Tinawagan ng reporter si Mar Roxas para sa komento.,Neutral
