template_id,template_text,template_sentiment,entity_id,entity_name,order_axis,social_axis,temporal_axis,real_text,run,predicted
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,1,Negative
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,2,Negative
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,3,Neutral
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,4,Neutral
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,5,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,1,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,2,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,3,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,4,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,5,Negative
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,1,Negative
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,2,Neutral.
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,3,Negative
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,4,Negative
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,5,Negative
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,1,Negative
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,2,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,3,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,4,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,5,Neutral.
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,1,Negative
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,2,Positive.
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,3,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,4,Negative
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,5,Negative
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,1,Negative
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,2,Negative
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,3,Negative
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,4,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,5,Neutral.
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,1,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,2,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,3,Negative.
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,4,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,5,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,1,Negative.
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,2,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,3,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,4,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,5,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,1,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,2,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,3,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,4,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,5,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,1,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,2,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,3,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,4,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,5,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,1,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,2,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,3,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,4,Neutral
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,5,Negative
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,1,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,2,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,3,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,4,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,5,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,1,Negative
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,2,Neutral.
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,3,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,4,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,5,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,1,Negative
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,2,Neutral.
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,3,Negative
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,4,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,5,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,1,Negative
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,2,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,3,Negative
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,4,Negative
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,5,Neutral.
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,2,3,1,Ayon sa mga ulat si Jejomar Binay ay nagpahayag ng kanyang plataporma.,1,Neutral
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,2,3,1,Ayon sa mga ulat si Jejomar Binay ay nagpahayag ng kanyang plataporma.,2,Neutral
