Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
1,Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,DUTERTE,MAR ROXAS,,,Negative,Neutral,Neutral,Neutral
2,"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(",DUTERTE,POE,,,Neutral,Neutral,Neutral,Neutral
3,[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,BINAY,,,,Negative,Negative,Negative,Negative
4,Ex-[Entity_A] aide turns tables on Mercado |,BINAY,,,,Neutral,Neutral,Neutral,Neutral
5,"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",BINAY,,,,Positive,Positive,Positive,Positive
6,Poor [Entity_A]??,BINAY,,,,Negative,Negative,Negative,Negative
7,"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!",BINAY,,,,Negative,Negative,Negative,Negative
8,"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].",BINAY,,,,Negative,Negative,Negative,Negative
9,Only [Entity_A],BINAY,,,,Positive,Positive,Positive,Positive
10,I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,BINAY,,,,Negative,Negative,Negative,Negative
11,"[Entity_A], [Entity_b], set commit to attend presidential debates",ROXAS,BINAY,,,Neutral,Neutral,Neutral,Neutral
12,"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?",DIGONG/DUTERTE,BINAY,ROXAS,POE,Negative,Negative,Negative,Negative
13,"[Entity_A] will take over kris' morning talk show ""halika usap tayo""",MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
14,hahahaha! ako si [Entity_A] po.,BINAY,,,,Positive,Positive,Positive,Positive
15,Anybody who plans to vote for [Entity_A] is definitely an utter moron.,BINAY,,,,Negative,Negative,Negative,Negative
16,Made my night!!! Yan si [Entity_A] ! ????????,BINAY,,,,Negative,Positive,Positive,Positive
17,"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??",MAR ROXAS,,,,Negative,Negative,Negative,Negative
18,"Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si [Entity_A] be??",BINAY,,,,Negative,Negative,Negative,Negative
19,hay nako basta ako [Entity_A] ako . [Entity_A] tayo . hahaha,BINAY,,,,Positive,Positive,Positive,Positive
20,daang baluktot ni [Entity_A],MAR ROXAS,,,,Negative,Negative,Negative,Negative
