Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,Negative,Neutral,Neutral
"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(",Neutral,Neutral,Neutral
[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,Negative,Negative,Negative
Ex-[Entity_A] aide turns tables on Mercado |,Neutral,Neutral,Neutral
"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",Positive,Positive,Positive
Poor [Entity_A]??,Negative,Negative,Negative
"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!",Negative,Negative,Negative
"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].",Negative,Negative,Negative
Only [Entity_A],Positive,Positive,Positive
I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,Negative,Negative,Negative
"[Entity_A], [Entity_b], set commit to attend presidential debates",Neutral,Neutral,Neutral
"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?",Negative,Negative,Negative
"[Entity_A] will take over kris' morning talk show ""halika usap tayo""",Neutral,Neutral,Neutral
hahahaha! ako si [Entity_A] po.,Positive,Positive,Positive
Anybody who plans to vote for [Entity_A] is definitely an utter moron.,Negative,Negative,Negative
Made my night!!! Yan si [Entity_A] ! ????????,Negative,Positive,Positive
"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??",Negative,Negative,Negative
"Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si [Entity_A] be??",Negative,Negative,Negative
hay nako basta ako [Entity_A] ako . [Entity_A] tayo . hahaha,Positive,Positive,Positive
